Dates,Année,Mois,Anomalies
1850-01-01,1850,0,-0.7
1850-02-01,1850,1,-0.286
1850-03-01,1850,2,-0.732
1850-04-01,1850,3,-0.563
1850-05-01,1850,4,-0.327
1850-06-01,1850,5,-0.213
1850-07-01,1850,6,-0.125
1850-08-01,1850,7,-0.237
1850-09-01,1850,8,-0.439
1850-10-01,1850,9,-0.451
1850-11-01,1850,10,-0.187
1850-12-01,1850,11,-0.257
1851-01-01,1851,0,-0.296
1851-02-01,1851,1,-0.356
1851-03-01,1851,2,-0.479
1851-04-01,1851,3,-0.441
1851-05-01,1851,4,-0.295
1851-06-01,1851,5,-0.197
1851-07-01,1851,6,-0.212
1851-08-01,1851,7,-0.157
1851-09-01,1851,8,-0.101
1851-10-01,1851,9,-0.057
1851-11-01,1851,10,-0.02
1851-12-01,1851,11,-0.051
1852-01-01,1852,0,-0.315
1852-02-01,1852,1,-0.477
1852-03-01,1852,2,-0.502
1852-04-01,1852,3,-0.557
1852-05-01,1852,4,-0.211
1852-06-01,1852,5,-0.04
1852-07-01,1852,6,-0.018
1852-08-01,1852,7,-0.202
1852-09-01,1852,8,-0.125
1852-10-01,1852,9,-0.216
1852-11-01,1852,10,-0.193
1852-12-01,1852,11,0.073
1853-01-01,1853,0,-0.182
1853-02-01,1853,1,-0.327
1853-03-01,1853,2,-0.309
1853-04-01,1853,3,-0.355
1853-05-01,1853,4,-0.268
1853-06-01,1853,5,-0.175
1853-07-01,1853,6,-0.059
1853-08-01,1853,7,-0.148
1853-09-01,1853,8,-0.404
1853-10-01,1853,9,-0.362
1853-11-01,1853,10,-0.255
1853-12-01,1853,11,-0.437
1854-01-01,1854,0,-0.365
1854-02-01,1854,1,-0.282
1854-03-01,1854,2,-0.286
1854-04-01,1854,3,-0.353
1854-05-01,1854,4,-0.233
1854-06-01,1854,5,-0.219
1854-07-01,1854,6,-0.227
1854-08-01,1854,7,-0.167
1854-09-01,1854,8,-0.119
1854-10-01,1854,9,-0.192
1854-11-01,1854,10,-0.367
1854-12-01,1854,11,-0.233
1855-01-01,1855,0,-0.169
1855-02-01,1855,1,-0.401
1855-03-01,1855,2,-0.306
1855-04-01,1855,3,-0.223
1855-05-01,1855,4,-0.338
1855-06-01,1855,5,-0.167
1855-07-01,1855,6,-0.271
1855-08-01,1855,7,-0.163
1855-09-01,1855,8,-0.336
1855-10-01,1855,9,-0.217
1855-11-01,1855,10,-0.214
1855-12-01,1855,11,-0.518
1856-01-01,1856,0,-0.122
1856-02-01,1856,1,-0.376
1856-03-01,1856,2,-0.528
1856-04-01,1856,3,-0.38
1856-05-01,1856,4,-0.129
1856-06-01,1856,5,-0.291
1856-07-01,1856,6,-0.304
1856-08-01,1856,7,-0.309
1856-09-01,1856,8,-0.461
1856-10-01,1856,9,-0.391
1856-11-01,1856,10,-0.608
1856-12-01,1856,11,-0.449
1857-01-01,1857,0,-0.513
1857-02-01,1857,1,-0.345
1857-03-01,1857,2,-0.434
1857-04-01,1857,3,-0.649
1857-05-01,1857,4,-0.57
1857-06-01,1857,5,-0.31
1857-07-01,1857,6,-0.541
1857-08-01,1857,7,-0.329
1857-09-01,1857,8,-0.393
1857-10-01,1857,9,-0.474
1857-11-01,1857,10,-0.668
1857-12-01,1857,11,-0.358
1858-01-01,1858,0,-0.528
1858-02-01,1858,1,-0.708
1858-03-01,1858,2,-0.548
1858-04-01,1858,3,-0.512
1858-05-01,1858,4,-0.653
1858-06-01,1858,5,-0.582
1858-07-01,1858,6,-0.329
1858-08-01,1858,7,-0.278
1858-09-01,1858,8,-0.332
1858-10-01,1858,9,-0.211
1858-11-01,1858,10,-0.643
1858-12-01,1858,11,-0.304
1859-01-01,1859,0,-0.308
1859-02-01,1859,1,-0.189
1859-03-01,1859,2,-0.327
1859-04-01,1859,3,-0.195
1859-05-01,1859,4,-0.307
1859-06-01,1859,5,-0.248
1859-07-01,1859,6,-0.274
1859-08-01,1859,7,-0.1
1859-09-01,1859,8,-0.565
1859-10-01,1859,9,-0.249
1859-11-01,1859,10,-0.315
1859-12-01,1859,11,-0.363
1860-01-01,1860,0,-0.181
1860-02-01,1860,1,-0.426
1860-03-01,1860,2,-0.642
1860-04-01,1860,3,-0.332
1860-05-01,1860,4,-0.293
1860-06-01,1860,5,-0.309
1860-07-01,1860,6,-0.109
1860-08-01,1860,7,-0.182
1860-09-01,1860,8,-0.217
1860-10-01,1860,9,-0.195
1860-11-01,1860,10,-0.515
1860-12-01,1860,11,-0.762
1861-01-01,1861,0,-0.893
1861-02-01,1861,1,-0.508
1861-03-01,1861,2,-0.464
1861-04-01,1861,3,-0.386
1861-05-01,1861,4,-0.768
1861-06-01,1861,5,-0.189
1861-07-01,1861,6,-0.221
1861-08-01,1861,7,-0.094
1861-09-01,1861,8,-0.33
1861-10-01,1861,9,-0.362
1861-11-01,1861,10,-0.417
1861-12-01,1861,11,-0.247
1862-01-01,1862,0,-0.742
1862-02-01,1862,1,-0.78
1862-03-01,1862,2,-0.403
1862-04-01,1862,3,-0.24
1862-05-01,1862,4,-0.225
1862-06-01,1862,5,-0.336
1862-07-01,1862,6,-0.344
1862-08-01,1862,7,-0.7
1862-09-01,1862,8,-0.42
1862-10-01,1862,9,-0.42
1862-11-01,1862,10,-0.766
1862-12-01,1862,11,-0.887
1863-01-01,1863,0,0.122
1863-02-01,1863,1,-0.024
1863-03-01,1863,2,-0.365
1863-04-01,1863,3,-0.244
1863-05-01,1863,4,-0.329
1863-06-01,1863,5,-0.402
1863-07-01,1863,6,-0.423
1863-08-01,1863,7,-0.326
1863-09-01,1863,8,-0.316
1863-10-01,1863,9,-0.384
1863-11-01,1863,10,-0.329
1863-12-01,1863,11,-0.341
1864-01-01,1864,0,-0.941
